"","word","Low","High"
"1","deposit",0.00201467531916698,0.000156510851419032
"2","homes",0.00188743266743012,5.21702838063439e-05
"3","self",0.0018450184501845,0.000469532554257095
"4","accounts",0.00180260423293888,5.21702838063439e-05
"5","deposits",0.00180260423293888,0.000156510851419032
"6","land",0.00150570471221954,0.00026085141903172
"7","medicines",0.00150570471221954,0.00026085141903172
"8","debt",0.00146329049497392,0.000365191986644407
"9","demand",0.00146329049497392,0.000156510851419032
"10","treat",0.00146329049497392,5.21702838063439e-05
